,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
374,"Little, Brown",Elin Hilderbrand,0316175579,2011-07-17,SILVER GIRL,2,2
375,Random House,Danielle Steel,0385343140,2011-05-01,44 CHARLES STREET,2,3
376,Harlequin,Linda Lael Miller,0373775555,2011-03-20,A CREED IN STONE CREEK,2,5
377,Harlequin,Ron Carr,0778329313,2011-02-20,WILD MAN CREEK,2,3
378,Scribner,Stephen King,1501180983,2018-06-09,THE OUTSIDER,1,2
379,Gallery,Mary Alice Monroe,1501193317,2018-06-09,BEACH HOUSE REUNION,1,3
380,C. Scott Publishing,Penelope Ward and Vi Keeland,1942215800,2018-06-09,REBEL HEART,1,2
381,Red Dress Press,Meghan March,1943796106,2018-06-09,ROGUE ROYALTY,1,2
382,Grand Central,James Patterson and Rees Jones,1538714450,2018-06-03,PRINCESS,1,1
383,Bantam,Dean Koontz,0525483446,2018-05-27,THE CROOKED STAIRCASE,1,3
384,Berkley,Amanda Quick,0399585338,2018-05-27,THE OTHER LADY VANISHES,1,4
385,Knopf,Michael Ondaatje,0525521194,2018-05-27,WARLIGHT,1,1
386,Susan Stoker,Susan Stoker,None,2018-05-27,RESCUING WENDY,1,2
387,Berkley,Mary Balogh,0399586091,2018-05-20,SOMEONE TO CARE,1,3
388,Ace,Faith Hunter,1101991437,2018-05-20,DARK QUEEN,1,2
389,Harper,Aimee Molloy,0062696815,2018-05-20,THE PERFECT MOTHER,1,3
390,Putnam,Ace Atkins,0698413075,2018-05-20,ROBERT B. PARKER'S OLD BLACK MAGIC,1,6
391,Delacorte,Lee Child,0440339340,2018-05-20,WORTH DYING FOR,1,3
392,St. Martin's,Iris Johansen,1466887249,2018-05-13,SHATTERED MIRROR,1,2
393,Red Dress Press,Meghan March,1943796084,2018-05-13,IRON PRINCESS,1,2
394,Oak Press,Bella Andre and Jennifer Skully,1945253436,2018-05-13,WILD IN LOVE,1,3
395,Anchor,Kevin Kwan,0345803787,2018-05-13,CRAZY RICH ASIANS,1,3
396,MIRA,Ron Carr,1488023557,2018-05-06,THE FAMILY GATHERING,1,3
397,Morrow,Christopher Moore,0062433970,2018-05-06,NOIR,1,1
398,Atria,Lisa Jewell,1501154664,2018-05-06,THEN SHE WAS GONE,1,4
399,Ballantine,JR Ward,None,2018-04-29,THE THIEF,1,2
400,Gallery,Catherine Coulter and JT Ellison,1501138219,2018-04-29,THE SIXTH DAY,1,3
401,Grand Central,Jeffery Deaver,1455536415,2018-04-29,THE CUTTING EDGE,1,3
402,"Little, Brown",Madeline Miller,0316556343,2018-04-29,CIRCE,1,1
403,C. Scott,Vi Keeland and Penelope Ward,1942215835,2018-04-29,REBEL HEIR,1,2
404,Harper,Anne Hillerman,0062391941,2018-04-22,CAVE OF BONES,1,3
405,Riverhead,Meg Wolitzer,0525533222,2018-04-22,THE FEMALE PERSUASION,1,3
406,Del Rey,Kevin Hearne,0345548558,2018-04-22,SCOURGED,1,1
407,Harper,Jacqueline Winspear,0062436651,2018-04-15,TO DIE BUT ONCE,1,4
408,Avon,Lynsay Sands,0062468871,2018-04-15,TWICE BITTEN,1,2
409,Red Dress,Meghan March,1943796068,2018-04-15,SAVAGE PRINCE,1,2
410,Viking,Elizabeth George,069841165X,2018-04-08,THE PUNISHMENT SHE DESERVES,1,4
411,Minotaur,Steve Berry,1250140234,2018-04-08,THE BISHOP'S PAWN,1,3
412,Berkley,Christine Feehan,0451489888,2018-04-08,COVERT GAME,1,2
413,Atlantic Monthly,Donna Leon,0802165613,2018-04-08,THE TEMPTATION OF FORGIVENESS,1,4
414,Ballantine,JR Ward,0525620923,2018-04-01,DEAREST IVIE,1,2
415,Doubleday,Chris Bohjalian,0385542429,2018-04-01,THE FLIGHT ATTENDANT,1,3
416,Putnam,Randy Wayne White,0735212783,2018-04-01,CARIBBEAN RIM,1,2
417,Ace,Patricia Briggs,0698195833,2018-03-25,BURN BRIGHT,1,2
418,Del Rey,Jason Fry,1524797111,2018-03-25,STAR WARS: THE LAST JEDI,1,5
419,Morrow,Linda Howard,006241903X,2018-03-25,THE WOMAN LEFT BEHIND,1,4
420,Delacorte,Karen Marie Moning,0399593675,2018-03-25,HIGH VOLTAGE,1,2
421,Avon,Lisa Kleypas,0062371894,2018-03-18,HELLO STRANGER,1,2
422,HQN,Marie Force,1488079021,2018-03-18,FATAL CHAOS,1,2
423,Kensington,Joanne Fluke,1617732257,2018-03-18,RASPBERRY DANISH MURDER,1,3
424,BAAE,Corinne Michaels,1942834225,2018-03-18,ONE LAST TIME,1,3
425,Zebra,Lisa Jackson,1420146408,2018-03-18,RUTHLESS,1,1
426,Berkley,Mark Greaney,045148892X,2018-03-11,AGENT IN PLACE,1,3
427,Penelope Ward,Penelope Ward,1942215738,2018-03-11,GENTLEMAN NINE,1,2
428,Waterhouse,Helen Hardt,None,2018-03-04,UNRAVELED,1,1
429,Scribner,Jason Matthews,1501140108,2018-03-04,THE KREMLIN'S CANDIDATE,1,3
430,Dial,Sophie Kinsella,039959289X,2018-03-04,SURPRISE ME,1,2
431,Putnam,Alex Berenson,0698407539,2018-02-25,THE DECEIVERS,1,2
432,Tyndale House,Francine Rivers,149640792X,2018-02-25,THE MASTERPIECE,1,2
