,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,1466887214,7,23,3,3777,9761,315,4.13
0,0759527881,73,115,8,160613,275924,5040,4.15
0,1466867272,19,38,5,9969,20436,1235,4.2
0,1460394356,11,22,3,5553,13040,735,4.01
0,0316276405,16,28,4,3533,6766,518,2.93
0,0553392786,10393,20303,887,14602,28829,1144,4.02
0,1455559504,10,30,5,7507,17946,775,3.51
0,081299650X,5,14,1,4988,10767,690,3.71
0,1420139037,10,27,5,1531,4048,197,4.12
0,1459294149,5,17,2,2560,6522,236,4.1
0,1476779287,9,19,4,2071,5825,310,4.13
0,145552588X,7,17,2,7690,15040,756,3.93
0,0062419005,132,332,25,8102,17244,840,3.8
0,1459254821,7,11,3,21384,42587,1305,4.08
0,0345511360,2398,11094,432,18999,47797,2328,4.06
0,1459293894,29,41,7,4810,10396,557,4.06
0,1466887206,8,28,3,3819,10649,383,4.01
0,1250083273,70,107,23,23504,47867,2711,3.9
0,1250088127,16,31,3,19795,39806,2270,3.61
0,0997215100,13,30,1,8212,16472,833,4.23
0,0062434772,32,68,11,10732,26366,980,4.03
0,1101882522,98,186,18,12465,33770,798,3.93
0,0062339532,37,85,14,14858,46784,1521,3.96
0,1459292472,33,45,14,12234,31767,1055,3.96
0,0062220624,10209,18801,1376,14211,27004,1705,4.05
0,1459292529,8,27,3,2333,5713,218,4.03
0,145558679X,3667,7008,570,4966,10559,721,4.06
0,0061797766,23,44,1,9452,17146,829,3.75
0,1451687540,30,56,5,4423,9411,414,4.36
0,0679644644,327,1028,98,36724,97304,5204,3.78
0,0759507910,92,158,9,138068,245571,6083,3.99
0,1101968109,6691,13674,718,8643,16973,867,3.94
0,039917351X,1195,2593,149,2391,4659,192,3.84
0,0062270532,8,20,2,7363,12058,1016,3.86
0,0802190316,1,11,0,6444,11521,778,4.07
0,1501110764,14,29,4,4864,8476,443,4.02
0,0698190424,123,151,27,22376,42480,2086,4.29
0,1439160120,237,380,61,230823,429074,18488,4.2
0,1501106473,2788,5297,461,93211,161119,10606,3.67
0,0062316052,34,83,8,6032,13089,600,4.12
0,0345549635,13,33,4,10660,21564,742,3.75
0,1617732176,4911,10873,702,6987,16701,933,3.59
0,1459292413,9,16,4,4081,9327,590,4.28
0,0345539850,179,255,54,119628,230030,10320,4.49
0,0307758982,18,44,1,12481,19616,523,4.02
0,146686267X,116,303,21,70797,142316,4172,4.42
0,0062389440,5,11,2,6294,13306,824,3.86
0,0345548523,47,61,15,18665,35807,1148,4.24
0,1416563229,34,57,7,14336,27818,878,3.99
0,0440339820,94,184,24,21281,56120,2188,4.21
0,0062250965,2,5,0,15132,28539,845,4.4
0,0698190831,14,26,5,11170,23804,1000,4.08
0,006238595X,46,77,18,13626,29323,1396,4.08
0,0698404149,2,7,0,3318,6945,169,4.26
0,1460391896,32,46,16,7606,14880,824,4.05
0,0062381636,8192,16988,812,12450,25065,1127,4.14
0,1501119796,6076,11407,938,6872,12839,1027,3.92
0,0062338315,111,526,27,18253,51844,1966,3.7
0,1501110357,210,325,92,99300,197031,14441,4.34
0,1451664168,8680,23769,1572,11242,29414,1858,3.24
0,080418898X,496,1086,128,96690,182744,11274,3.56
0,1455533246,57,79,10,19152,32911,1972,4.37
0,1250027942,10,30,4,10020,21011,1055,4.09
0,1451649371,4,8,1,96471,215900,11069,4.05
0,0062351427,27685,84902,4099,32464,95760,4907,3.84
0,0385353774,10641,41677,1854,13389,49047,2247,3.4
0,142994983X,52,161,5,3477,5804,209,4.16
0,1466862661,166,366,17,80158,158556,4619,4.29
0,0553391704,34,45,9,11365,21233,1498,3.6
0,0698411676,18,37,4,11078,20532,1560,3.88
0,0698138007,84,166,23,36325,80712,4035,4.17
0,0307756963,59,125,10,30940,66962,1646,3.89
0,1484720342,17,34,4,6226,14956,544,3.98
0,1455591742,6,31,1,9553,24471,699,4.32
0,142689998X,15,37,2,3326,5963,288,4.56
0,0062297686,77,230,6,3991,8163,473,3.69
0,0698192095,10,18,1,5502,10814,453,4.0
0,0698156102,32,50,12,5084,9647,590,4.05
0,1250022096,48,95,9,36307,72426,3801,4.22
0,1476758824,5,21,2,23847,68914,2021,3.93
0,006175272X,92,133,8,80924,122343,3233,3.7
0,1250029953,40,74,12,8866,20678,775,4.18
0,1460384016,21,35,4,4783,10979,543,4.0
0,146688150X,24,69,7,8148,15156,861,3.96
0,1420136062,6,16,4,3339,8496,333,3.91
0,0345544056,31,43,10,14285,30012,1352,3.92
0,0804137250,81017,153068,10889,98337,182438,12947,3.53
0,1420135953,4,10,1,1880,5015,165,4.09
0,0553392727,29,50,8,17553,33470,1707,3.78
0,0062312510,36,82,6,4771,11856,433,3.8
0,0345541863,13,29,8,5431,10818,556,4.08
0,0698140303,33,52,9,12693,27611,1383,3.9
0,1939996236,14473,35418,1348,18431,44412,1605,3.9
0,069819084X,13,22,2,6422,13152,691,3.69
0,1460381807,6,14,2,1488,4030,148,4.0
0,1476703019,31,51,5,36587,102620,3689,3.87
0,0385531419,20,58,2,10702,18995,983,3.7
0,1250020077,6,19,3,2842,7791,238,4.02
0,1939996260,1938,3965,221,4101,7368,320,4.51
0,1101621044,21,44,4,6436,11697,671,3.85
0,0062333089,126,167,18,15593,32988,1352,4.17
0,1476778019,22603,46335,1680,26400,53378,2062,4.1
0,1476776105,41,47,9,19550,39979,1414,4.26
0,0802191835,2,7,0,5405,9321,612,3.84
0,1466862602,24,60,4,9076,18148,823,3.95
0,1466854227,85,116,30,34611,62488,3011,4.06
0,0804177473,57,120,10,31985,57991,1572,4.13
